slug,name,category,district,address,official_url,instagram_url,what_to_order_existing,cuisine_verbatim,description_verbatim,menu_highlights,price_range_idr,opening_hours_verbatim,closed_days,source_url,checked_at,notes
amavi-canggu-bali,AMAVI Canggu Bali,restaurant,canggu,"Jl. Pantai Berawa No.9, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://amavicanggu.grandcentralgroup.co.id/,https://www.instagram.com/amavi.canggu/,,,,,,,,,,
artisan-pererenan,Artisan – Pererenan,restaurant,canggu,"Jl. Munduk Kedungu No.5, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",https://artisangroup.id/,https://www.instagram.com/artisan.bali/,,,,,,,,,,
at06,AT06,restaurant,canggu,"Jl. Pantai Batu Mejan No.6, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://at06bali.com/,https://www.instagram.com/at06.bali/,,,,,,,,,,
blu-cafe-chef-made,BLU Cafe. Chef Made,cafe,canggu,"Jalan Pantai Pererenan No.150b, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",,https://www.instagram.com/blu_cafe_chefmade/,,,,,,,,,,
cantina-classe-canggu,Cantina Classe — Canggu,restaurant,canggu,"Jl. Canggu Padang Linjong No.8C, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://thewonderspace.com/cantinacanggu/,https://www.instagram.com/cantinaclasse/,,,,,,,,,,
dodo-pizza,Dodo Pizza,restaurant,canggu,"Jl. Anggrek, Tibubeneng, Canggu, Kabupaten Badung, Bali 80361, Indonesia",https://dodopizza.co.id/,https://www.instagram.com/dodopizza.bali/,pizza,,,,,,,,,
focaccia-buddies,Focaccia Buddies,restaurant,canggu,"Jl. Pantai Pererenan No.107, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",,https://www.instagram.com/focacciabuddies.bali/,matcha; sandwich,,,,,,,,,
home-cafe-mengwi,HOME Cafe MENGWI,cafe,canggu,"Br. Tiying Tutul No.19, Pererenan, Mengwi, Badung Regency, Bali 80351, Indonesia",,https://www.instagram.com/homekikicafe/,,,,,,,,,,
ju-bali,Ju Bali,restaurant,canggu,"Jl. Bumbak Dauh No.8, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://ju-bali.com/,https://www.instagram.com/ju_bali/,,,,,,,,,,
kopiten,Kopiten,restaurant,canggu,"Jl. Raya Tumbakbayuh - Pererenan, Tumbak Bayuh, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",,https://www.instagram.com/kopiten_coffee/,,,,,,,,,,
loop-cafe,LOOP cafe,cafe,canggu,"Jl. Dalem Lingsir No.12, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",https://loopbali.com/,https://www.instagram.com/loopcafe.bali/,,,,,,,,,,
mavammy,Mavammy,restaurant,canggu,"Jl. Pantai Batu Bolong No.8, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,https://www.instagram.com/mavammy/,,,,,,,,,,
momento-daily-resto,Momento Daily Resto,restaurant,canggu,"Jl. Pantai Batu Bolong No.32, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,https://www.instagram.com/momento.bali/,,,,,,,,,,
nuna-bali,Nuna Bali,restaurant,canggu,"Jl. Pantai Batu Mejan No.106, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali, Indonesia",,,waffle,,,,,,,,,
paed-thai-canggu,Paed Thai — Canggu,restaurant,canggu,"Jl. Canggu Padang Linjong No.8A, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",http://thewonderspace.com/paedthaicanggu/,https://www.instagram.com/paedthai/,,,,,,,,,,
porch,Porch,restaurant,canggu,"Jl. Raya Semat No.1, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,https://www.instagram.com/porch.bali/,,,,,,,,,,
