vehicle_id,venue_id,venue_name,vehicle_name,vehicle_type,period_text,price,price_raw,currency,price_from,source
efc87d799e91268e-v0,efc87d799e91268e,PT VRM TRANS BALI,Honda Scoopy,motorbike,per day,,50 ribu,IDR,True,https://www.vrmtrans.com/artikel/category/gianyar
efc87d799e91268e-v1,efc87d799e91268e,PT VRM TRANS BALI,Honda Vario,motorbike,per day,,70 ribu,IDR,True,https://www.vrmtrans.com/artikel/category/gianyar
efc87d799e91268e-v2,efc87d799e91268e,PT VRM TRANS BALI,Yamaha NMAX,motorbike,per day,,100 ribu,IDR,True,https://www.vrmtrans.com/artikel/category/gianyar
efc87d799e91268e-v3,efc87d799e91268e,PT VRM TRANS BALI,Honda PCX,motorbike,per day,,150 ribu,IDR,True,https://www.vrmtrans.com/artikel/category/gianyar
777ad810e90db69c-v0,777ad810e90db69c,Seminyak Motorbike & Scooter Rental,HONDA SCOOPY 110cc,scooter,3 - 4 days,,IDR 85K,IDR,True,https://baliscooters.com/seminyak-motorbike-scooter-rental
777ad810e90db69c-v1,777ad810e90db69c,Seminyak Motorbike & Scooter Rental,HONDA SCOOPY 110cc,scooter,5 - 14 days,,IDR 70K,IDR,True,https://baliscooters.com/seminyak-motorbike-scooter-rental
777ad810e90db69c-v2,777ad810e90db69c,Seminyak Motorbike & Scooter Rental,HONDA SCOOPY 110cc,scooter,15 - 21 days,,IDR 60K,IDR,True,https://baliscooters.com/seminyak-motorbike-scooter-rental
777ad810e90db69c-v3,777ad810e90db69c,Seminyak Motorbike & Scooter Rental,HONDA SCOOPY 110cc,scooter,Monthly,,IDR 1500K,IDR,True,https://baliscooters.com/seminyak-motorbike-scooter-rental
777ad810e90db69c-v4,777ad810e90db69c,Seminyak Motorbike & Scooter Rental,YAMAHA N-MAX 155cc,scooter,3 - 4 days,,IDR 150K,IDR,True,https://baliscooters.com/seminyak-motorbike-scooter-rental
777ad810e90db69c-v5,777ad810e90db69c,Seminyak Motorbike & Scooter Rental,YAMAHA N-MAX 155cc,scooter,5 - 14 days,,IDR 120K,IDR,True,https://baliscooters.com/seminyak-motorbike-scooter-rental
777ad810e90db69c-v6,777ad810e90db69c,Seminyak Motorbike & Scooter Rental,YAMAHA N-MAX 155cc,scooter,15 - 21 days,,IDR 100K,IDR,True,https://baliscooters.com/seminyak-motorbike-scooter-rental
777ad810e90db69c-v7,777ad810e90db69c,Seminyak Motorbike & Scooter Rental,YAMAHA N-MAX 155cc,scooter,Monthly,,IDR 2400K,IDR,True,https://baliscooters.com/seminyak-motorbike-scooter-rental
777ad810e90db69c-v8,777ad810e90db69c,Seminyak Motorbike & Scooter Rental,HONDA PCX 160cc,scooter,3 - 4 days,,IDR 150K,IDR,True,https://baliscooters.com/seminyak-motorbike-scooter-rental
777ad810e90db69c-v9,777ad810e90db69c,Seminyak Motorbike & Scooter Rental,HONDA PCX 160cc,scooter,5 - 14 days,,IDR 120K,IDR,True,https://baliscooters.com/seminyak-motorbike-scooter-rental
777ad810e90db69c-v10,777ad810e90db69c,Seminyak Motorbike & Scooter Rental,HONDA PCX 160cc,scooter,15 - 21 days,,IDR 100K,IDR,True,https://baliscooters.com/seminyak-motorbike-scooter-rental
