slug,name,district,official_url,instagram_url,address_if_real,latitude,longitude,source_url,source_type,status,note
7am-bakers-umalas,7AM Bakers Umalas,canggu,https://sevenambakers.com/,https://www.instagram.com/7am.bakers/,,,,,,,
adda-yoga,Adda Yoga,canggu,https://addayogabali.com/,https://www.instagram.com/addayogacanggu/,,,,,,,
amavi-canggu-bali,AMAVI Canggu Bali,canggu,https://amavicanggu.grandcentralgroup.co.id/,https://www.instagram.com/amavi.canggu/,,,,,,,
amo-spa-canggu-canggu,AMO Spa Canggu,canggu,https://amospa.com/,https://www.instagram.com/amospabali/,,,,,,,
amplitude-skate-and-bike-park,Amplitude Skate & Bike Park,canggu,https://raceamplitude.com,,,,,,,,
artisan-pererenan,Artisan – Pererenan,canggu,https://artisangroup.id/,https://www.instagram.com/artisan.bali/,,,,,,,
at06,AT06,canggu,https://at06bali.com/,https://www.instagram.com/at06.bali/,,,,,,,
atlas-beach-club,Atlas Beach Club,canggu,https://atlasbeachfest.com/,https://www.instagram.com/atlasbeachfest/,,,,,,,
babi-guling-men-agus,Babi Guling Men Agus,canggu,,https://www.instagram.com/babigulingmenagus/,,,,,,,
babi-guling-men-lari,Babi Guling Men Lari,canggu,,https://www.instagram.com/begulingmenlari/,,,,,,,
babi-guling-sari-kembar-99,Babi Guling Sari Kembar 99,canggu,,https://www.instagram.com/babiguling.sarikembar99/,,,,,,,
baked-pererenan,BAKED Pererenan,canggu,https://baked.co.id/,https://www.instagram.com/baked.indonesia/,,,,,,,
baked-berawa,BAKED. Berawa,canggu,https://baked.co.id/,https://www.instagram.com/baked.indonesia/,,,,,,,
bali-climbing-bouldering-gym,Bali Climbing Bouldering Gym,canggu,https://bali-climbing.com/,,,,,,,,
bali-mma-canggu,Bali MMA,canggu,https://balimma.com/,https://www.instagram.com/balimma/,,,,,,,
bali-padel-academy,Bali Padel Academy,canggu,https://www.balipadelacademy.com/,,,,,,,,
bambou-cafe-and-lagree-cemagi,Bambou Café & Lagree Cemagi,canggu,https://www.bamboucafe.com/bali,https://www.instagram.com/bamboucafecemagi/,,,,,,,
beach-boy-canggu,Beach Boy Canggu,canggu,https://www.beachboycanggu.com/,https://www.instagram.com/beachboycanggu/,,,,,,,
blu-cafe-chef-made,BLU Cafe. Chef Made,canggu,,https://www.instagram.com/blu_cafe_chefmade/,,,,,,,
body-factory-bali-canggu,Body Factory Bali,canggu,https://bodyfactorybali.com/,https://www.instagram.com/bodyfactory_bali/,,,,,,,
bottega-italiana,Bottega Italiana,canggu,https://www.bottegaitalianabali.com/,https://www.instagram.com/bottegaitalianabali/,,,,,,,
brother-gym,Brother Gym,canggu,https://brother-gym-canggu.pages.dev/,https://www.instagram.com/brother_gym_canggu_bali/,,,,,,,
brunch-club-pererenan,Brunch Club Pererenan,canggu,https://brunchclubbali.com/,https://www.instagram.com/brunch_club_bali/,,,,,,,
cafe-del-mar-bali,Café del Mar Bali,canggu,https://cafedelmarbali.co.id/,https://www.instagram.com/cafedelmarbali/,,,,,,,
cafe-vida-healthy-organic-restaurant-canggu,CAFE VIDA Healthy Organic Restaurant Canggu,canggu,https://www.facebook.com/cafevidabali/,https://www.instagram.com/cafe_vida_bali/,,,,,,,
canggu-club-tennis-centre,Canggu Club Tennis Centre,canggu,https://finnslifestylevillage.com/,https://www.instagram.com/finnsrecclub/,,,,,,,
canggu-yoga-centre-canggu,Canggu Yoga Centre,canggu,https://cangguyogacentre.id,https://www.instagram.com/cangguyogacentre/?hl=en,,,,,,,
cantina-classe-canggu,Cantina Classe — Canggu,canggu,https://thewonderspace.com/cantinacanggu/,https://www.instagram.com/cantinaclasse/,,,,,,,
dandelion,Casa Tua,canggu,,https://www.instagram.com/casatua.canggu/,Jl. Pantai Batu Bolong No.10;  Canggu,,,,,,
