priority,slug,name,district,official_url,instagram_url,gmaps_short_link,street_address,area_note,latitude,longitude,source_url,source_type,status,note
1,7am-bakers-umalas,7AM Bakers Umalas,canggu,https://sevenambakers.com/,https://www.instagram.com/7am.bakers/,https://goo.gl/maps/AyvyKmGZwPrxoxCm8,,Umalas / Kerobokan / Umalas,,,,,,
1,adda-yoga,Adda Yoga,canggu,https://addayogabali.com/,https://www.instagram.com/addayogacanggu/,https://maps.app.goo.gl/b9zTiKjThF9YJZwFA,,,,,,,,
1,amavi-canggu-bali,AMAVI Canggu Bali,canggu,https://amavicanggu.grandcentralgroup.co.id/,https://www.instagram.com/amavi.canggu/,,"Jl. Pantai Berawa No.9, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,,,,,,
1,amo-spa-canggu-canggu,AMO Spa Canggu,canggu,https://amospa.com/,https://www.instagram.com/amospabali/,,,Batu Bolong / Canggu,,,,,,
1,amplitude-skate-and-bike-park,Amplitude Skate & Bike Park,canggu,https://raceamplitude.com,,,,,,,,,,
1,artisan-pererenan,Artisan – Pererenan,canggu,https://artisangroup.id/,https://www.instagram.com/artisan.bali/,,"Jl. Munduk Kedungu No.5, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",,,,,,,
1,at06,AT06,canggu,https://at06bali.com/,https://www.instagram.com/at06.bali/,,"Jl. Pantai Batu Mejan No.6, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,,,,,,
1,atlas-beach-club,Atlas Beach Club,canggu,https://atlasbeachfest.com/,https://www.instagram.com/atlasbeachfest/,https://maps.app.goo.gl/yadZxkdVaeQgTcMy7,,Tibubeneng / Canggu / Berawa near Finns,,,,,,
1,baked-pererenan,BAKED Pererenan,canggu,https://baked.co.id/,https://www.instagram.com/baked.indonesia/,https://goo.gl/maps/DHyuaqtcoF338b2v9,,Badung / Pererenan,,,,,,
1,baked-berawa,BAKED. Berawa,canggu,https://baked.co.id/,https://www.instagram.com/baked.indonesia/,,,Tibubeneng / Canggu / Berawa / Semat,,,,,,
1,bali-climbing-bouldering-gym,Bali Climbing Bouldering Gym,canggu,https://bali-climbing.com/,,,,,,,,,,
1,bali-mma-canggu,Bali MMA,canggu,https://balimma.com/,https://www.instagram.com/balimma/,,,Padonan / Canggu edge,,,,,,
1,bali-padel-academy,Bali Padel Academy,canggu,https://www.balipadelacademy.com/,,,,,,,,,,
1,bambou-cafe-and-lagree-cemagi,Bambou Café & Lagree Cemagi,canggu,https://www.bamboucafe.com/bali,https://www.instagram.com/bamboucafecemagi/,,,Cemagi / Mengwi / Cemagi / Mengening,,,,,,
1,beach-boy-canggu,Beach Boy Canggu,canggu,https://www.beachboycanggu.com/,https://www.instagram.com/beachboycanggu/,,,Canggu / Munduk Catu,,,,,,
1,body-factory-bali-canggu,Body Factory Bali,canggu,https://bodyfactorybali.com/,https://www.instagram.com/bodyfactory_bali/,,,Nelayan / Canggu,,,,,,
1,body-factory-bali-recovery-canggu,Body Factory Bali Recovery,canggu,https://bodyfactorybali.com/,https://www.instagram.com/bodyfactory_bali/,,,Nelayan / Canggu,,,,,,
1,bottega-italiana,Bottega Italiana,canggu,https://www.bottegaitalianabali.com/,https://www.instagram.com/bottegaitalianabali/,,,Canggu/Batu Bolong/Berawa,,,,,,
1,brother-gym,Brother Gym,canggu,https://brother-gym-canggu.pages.dev/,https://www.instagram.com/brother_gym_canggu_bali/,,,,,,,,,
1,brunch-club-pererenan,Brunch Club Pererenan,canggu,https://brunchclubbali.com/,https://www.instagram.com/brunch_club_bali/,https://maps.app.goo.gl/3VKiHQJRgohi4vdh8,,Pererenan / Pantai Pererenan,,,,,,
1,cafe-del-mar-bali,Café del Mar Bali,canggu,https://cafedelmarbali.co.id/,https://www.instagram.com/cafedelmarbali/,,,Tibubeneng / Canggu / Batu Belig / Berawa edge,,,,,,
1,cafe-vida-healthy-organic-restaurant-canggu,CAFE VIDA Healthy Organic Restaurant Canggu,canggu,https://www.facebook.com/cafevidabali/,https://www.instagram.com/cafe_vida_bali/,,,Canggu / Batu Bolong,,,,,,
1,canggu-club-tennis-centre,Canggu Club Tennis Centre,canggu,https://finnslifestylevillage.com/,https://www.instagram.com/finnsrecclub/,,,,,,,,,
1,canggu-yoga-centre-canggu,Canggu Yoga Centre,canggu,https://cangguyogacentre.id,https://www.instagram.com/cangguyogacentre/?hl=en,,,Canggu,,,,,,
