rank,slug,name,district,category,queue_class,passes_release_gate,num_blockers,editorial_severity,gate_proximity,demand_score,gsc_impressions,gsc_clicks,gsc_position,gsc_striking_distance,composite_score
1,7am-bakers-umalas,7AM Bakers Umalas,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
2,afterglow-bar-and-kitchen-at-tribe-bali-kuta-beach,Afterglow Bar and Kitchen at Tribe Bali Kuta Beach,kuta-legian,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
3,baked-berawa,BAKED. Berawa,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
4,boheme-canggu,Boheme Restaurant at Shore Amora Canggu,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
5,bottega-italiana,Bottega Italiana,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
6,chamas-brazilian-churrascaria-at-kuta,Chamas Brazilian Churrascaria at Kuta,kuta-legian,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
7,chupacabras,Chupacabras,ubud,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
8,copenhagen-cafe-berawa,Copenhagen CAFE Berawa,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
9,crate-cafe,Crate Cafe,canggu,cafe,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
10,deus-ex-machina,Deus Ex Machina,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
11,ele-restaurant-bar-and-terrace,"ELE Restaurant, Bar and Terrace",canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
12,grillos-cafe-and-eatery,Grillos Cafe & Eatery,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
13,hippie-fish-pererenan-beach,Hippie Fish Pererenan Beach,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
14,hungry-bird-coffee,Hungry Bird Coffee Roaster,canggu,cafe,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
15,indigo,Indigo,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
16,jade-by-todd-english,Jade by Todd English,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
17,kecambah-restaurant-at-lalasa-villas,Kecambah Restaurant at Lalasa Villas,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
18,manhattan-cocktail-hookah-kitchen,Manhattan Cocktail Hookah Kitchen,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
19,mason,Mason,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
20,nude-berawa,NÜDE Berawa,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
21,sia-grill-and-seafood-bar,SIA - Grill & Seafood Bar,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
22,takk-bali,TAKK Bali,seminyak,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
23,takumi-bali,Takumi Bali,seminyak,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
24,the-slow,The Slow,canggu,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
25,urban-seaside-restaurant-and-bar,Urban Seaside restaurant & bar,nusa-dua,restaurant,P1_ADD_VERIFIED_ANCHOR,False,1,0.9,0.75,0.0,,,,,0.84
26,12-kitchen-and-wine,12 Kitchen and Wine,canggu,bar,P1_ADD_VERIFIED_ANCHOR,False,2,0.9,0.5,0.0,,,,,0.74
27,amber-resto-seminyak,Amber Resto Seminyak,seminyak,restaurant,P1_ADD_VERIFIED_ANCHOR,False,2,0.9,0.5,0.0,,,,,0.74
