venue_id,name,domain,reason,source
obs-ad418782ce,Ambiente Spa & Wellness – Rama Residence Seminyak,ambientespabali.com,no structured services extracted,https://www.ambientespabali.com/special_offer/midday-bliss-at-ambiente-spa-wellness-rama-residence-seminyak
obs-326eda49df,Ritual Spa Kuta,ramayanaexperience.com,no structured services extracted,https://ramayanaexperience.com/sanctuaries-of-wellness/
obs-c3cfa8b03f,Spa at The Lovina Bali,bali.com,no structured services extracted,https://bali.com/places/spa-at-the-lovina-bali/
obs-019eb2412b,The Rustic Sun,therusticsunbali.com,no structured services extracted,https://therusticsunbali.com/
obs-3255a76e2d,Cloud Spa,bali-interiors.com,no structured services extracted,https://www.bali-interiors.com/business-directory/cloud-spa/
obs-cbd1fa1c2e,SUNDARI Wellness,sundari-wellness.com,no structured services extracted,http://sundari-wellness.com/
obs-a463e0556a,Bali Gift Spa,seminyakgiftspa.com,no structured services extracted,https://seminyakgiftspa.com/
obs-b3227bc8fc,Bhava Spa,bhavaspa.com,no structured services extracted,https://www.bhavaspa.com/
obs-52fe94fa9e,Nusa Dua Spa,nusaduahotel.com,no structured services extracted,https://www.nusaduahotel.com/facility/nusa-dua-spa/
obs-7ad8ea9215,The Bale Nusa Dua,lifestyleretreats.com,no structured services extracted,https://lifestyleretreats.com/the-bale-nusa-dua/the-spa-reservation/
obs-c779ee49d2,Spa at The Ayodya,ayodyaresortbali.com,no structured services extracted,https://ayodyaresortbali.com/spa
obs-d4d85a4c44,Laniakea,laniakeaspabali.com,no structured services extracted,https://www.laniakeaspabali.com/
obs-a5057ea531,Channa Spa,thegriya.com,no structured services extracted,https://www.thegriya.com/
obs-c3ece75aaa,Swan Spa,villandra.com,no structured services extracted,https://villandra.com/spa/
obs-d6477080f2,Munduk Moding Plantation Nature Resort and Spa,scottdunn.com,no structured services extracted,https://www.scottdunn.com/us/indonesia/hotels/munduk-moding-plantation-nature-resort-and-spa
obs-645c47c413,Sanak Retreat Bali,sanakbali.com,no structured services extracted,https://sanakbali.com/
obs-cc9ff83cf4,JANE’S HOUSE & SPA BEDUGUL BALI,searchspot.ai,no structured services extracted,https://www.searchspot.ai/places/jane-s-house-spa-bedugul-bali-indonesia
obs-7386f9047b,Soori Spa,sooribali.com,no structured services extracted,https://www.sooribali.com/spa
obs-e905de403d,The Udaya Resorts & Spa,theudayaresort.com,no structured services extracted,https://theudayaresort.com/
obs-c9d2d78748,House of Orange,houseoforangebali.com,no structured services extracted,https://houseoforangebali.com
obs-0a0c27b220,Jet Black Ginger,jetblackginger.com,no structured services extracted,https://jetblackginger.com
obs-bf160ed4af,Jiwa Bali,jiwabali.com,no structured services extracted,https://jiwabali.com
obs-c7f35f8c0f,Luna & Sol,luna-solpilates.com,no structured services extracted,https://luna-solpilates.com
obs-8cc8f5bfde,Martha Tilaar Spa,marthatilaarspa.com,no structured services extracted,https://marthatilaarspa.com
obs-4bdab381e5,Maya Ubud Resort & Spa,mayaresorts.com,no structured services extracted,https://mayaresorts.com
obs-2b604253c5,The Shala Bali,theshalabali.com,no structured services extracted,https://theshalabali.com
obs-0955c12271,Think Pink Salon,thinkpinksalon.com,no structured services extracted,https://thinkpinksalon.com
