venue_id,name,area,services,priced,contact,website,why
obs-aa7c1d3452,Jimbaran Puri Spa,Bali,37,19,,https://belmond.com,"prices published, no online booking — WhatsApp/phone only"
obs-36d7498e99,Therapy Day Spa,"Pererenan, Bali",21,20,6287862137603,https://therapy.co.id,"prices published, no online booking — WhatsApp/phone only"
obs-71878e1c7f,Bloo Lagoon Spa & Wellness,Padangbai,23,22,6282334100300,https://bloolagoon.com,"prices published, no online booking — WhatsApp/phone only"
obs-7e44d6b756,Pendray Inn and Teahouse,Victoria,5,2,,https://ramblynjazz.com,"prices published, no online booking — WhatsApp/phone only"
obs-77332edd04,Goldust Spa,Canggu,7,1,,https://goldustspa.com,"prices published, no online booking — WhatsApp/phone only"
obs-460095d02f,Bodyworks Bali,Seminyak,13,13,,https://bodyworksbali.com,"prices published, no online booking — WhatsApp/phone only"
obs-0add32a9f6,COZY SPA BALI,Kuta,16,16,6281238506622,https://cozyspabali.com,"prices published, no online booking — WhatsApp/phone only"
obs-8e80af4ce3,Anjali Spa,Legian,4,4,6281330988373,https://astaginaresort.com,"prices published, no online booking — WhatsApp/phone only"
obs-a979d43f92,Ministry of Villas,Legian,11,2,,https://ministryofvillas.com,"prices published, no online booking — WhatsApp/phone only"
obs-5c2781d12d,Glow Spa Bali,Legian,65,65,6341738202020,https://balimandira.com,"prices published, no online booking — WhatsApp/phone only"
obs-7c29a005ce,Body Worship Bali,Kuta,75,75,,https://bodyworshipbali.com,"prices published, no online booking — WhatsApp/phone only"
obs-83ecccba2d,The Nest Beachside Spa,Sanur,36,36,6281139605767,https://thenestbeachsidespa.com,"prices published, no online booking — WhatsApp/phone only"
obs-54e837703c,The Nest Boutique Spa,"Sanur, Bali",79,79,628113705337,https://thenestboutiquespa.com,"prices published, no online booking — WhatsApp/phone only"
obs-1bc4c199bd,Koa Spa,Sanur,12,12,6282359053384,https://koashala.com,"prices published, no online booking — WhatsApp/phone only"
obs-ea01f95e1c,The Lotus Spa,Seminyak,26,26,628172822999,https://thelotuspabali.com,"prices published, no online booking — WhatsApp/phone only"
obs-ea07ff7450,Serene Bali Spa,Bali,13,1,62811382231,https://serenebalispa.com,"prices published, no online booking — WhatsApp/phone only"
obs-29a9550a4c,Win Bali Spa,Uluwatu,20,20,,https://winbalispa.com,"prices published, no online booking — WhatsApp/phone only"
obs-faccb5aadb,Pelangi Villa Sidemen,Karangasem Bali,8,8,628123841130,https://pelangivillassidemen.com,"prices published, no online booking — WhatsApp/phone only"
obs-5ecab9fac3,Aquaria's Inner Temple spa sanctuary,Candi Dasa,55,50,,https://aquariabali.com,"prices published, no online booking — WhatsApp/phone only"
obs-75f20c1c20,AMO Spa,Canggu,4,3,,https://amospa.com,"prices published, no online booking — WhatsApp/phone only"
obs-fca10ad9b2,Leha Leha Spa,Sanur,33,33,628113995510,https://balilehaleha.com,"prices published, no online booking — WhatsApp/phone only"
obs-a1d9159518,Desa Seni,Baturiti,4,4,,https://desaseni.com,"prices published, no online booking — WhatsApp/phone only"
obs-fa958bceee,Oneworld Ayurveda,Bali,2,2,,https://oneworldayurveda.com,"prices published, no online booking — WhatsApp/phone only"
obs-eccc07655b,Power of Now Oasis,Sanur,3,2,6287861534535,https://powerofnowoasis.com,"prices published, no online booking — WhatsApp/phone only"
obs-a9f6e0c1d9,Griya Santrian Beach Resort & Spa,Sanur,25,25,6281338746868,https://santrian.com,"prices published, no online booking — WhatsApp/phone only"
obs-9edb8ab4fa,Yoga Barn Wellness,priority5,24,24,,https://theyogabarn.com,"prices published, no online booking — WhatsApp/phone only"
obs-1a40e999d8,Ubud Sari Spa,Ubud,17,13,6281239060008,https://ubudsari.com,"prices published, no online booking — WhatsApp/phone only"
