venue_slug,photo_status,mime_type,storage_path,preview_url,viewport,http_status,next_image,complete,natural_width,natural_height,alt_ok,console_errors,result
the-avocado-factory,published,image/jpeg,draft/the-avocado-factory/bc0397f7498a13d77d8b.jpg,https://other-bali-t0-diagnostics-crvu7gwo2-yulaboober.vercel.app/places/the-avocado-factory,390x844,200,YES,YES,933,1399,YES,0,PASS
mozaic,published,image/jpeg,draft/mozaic/421df8885f017b33c1e4.jpg,https://other-bali-t0-diagnostics-crvu7gwo2-yulaboober.vercel.app/places/mozaic,1440x900,200,YES,YES,955,955,YES,0,PASS
room4dessert,published,image/jpeg,draft/room4dessert/90adb2562b1944594c0f.jpg,https://other-bali-t0-diagnostics-crvu7gwo2-yulaboober.vercel.app/places/room4dessert,1280x800,200,YES,YES,687,933,YES,0,PASS
locavore-nxt,published,image/webp,draft/locavore-nxt/665011828b3745b36705.webp,https://other-bali-t0-diagnostics-crvu7gwo2-yulaboober.vercel.app/places/locavore-nxt,1280x800,200,YES,YES,1120,746,YES,0,PASS
12-kitchen-and-wine,needs_verification,image/jpeg,draft/12-kitchen-and-wine/b6912e9d7c108cb59f19.jpg,https://other-bali-t0-diagnostics-crvu7gwo2-yulaboober.vercel.app/places/12-kitchen-and-wine,1280x800,200,YES,YES,1120,480,YES,0,PASS
cutiepai-nails,needs_verification,image/png,draft/cutiepai-nails/4037b285c2e3092c3774.png,https://other-bali-t0-diagnostics-crvu7gwo2-yulaboober.vercel.app/places/cutiepai-nails,390x844,200,YES,YES,933,1213,YES,0,PASS
bottega-italiana,needs_verification,image/webp,draft/bottega-italiana/cb1292a73a931722e606.webp,https://other-bali-t0-diagnostics-crvu7gwo2-yulaboober.vercel.app/places/bottega-italiana,375x812,200,YES,YES,1008,1260,YES,0,PASS
alchemy-yoga-meditation-center,needs_verification,image/jpeg,draft/alchemy-yoga-meditation-center/10bfad61db1af3ffb17b.jpg,https://other-bali-t0-diagnostics-crvu7gwo2-yulaboober.vercel.app/places/alchemy-yoga-meditation-center,375x812,200,YES,YES,1120,630,YES,0,PASS
karsa-spa,needs_verification,image/png,draft/karsa-spa/7eed261962e722cce8bc.png,https://other-bali-t0-diagnostics-crvu7gwo2-yulaboober.vercel.app/places/karsa-spa,390x844,200,YES,YES,233,174,YES,0,PASS
jaens-spa,needs_verification,image/webp,draft/jaens-spa/ffe0b22cfe8d24a0f3c5.webp,https://other-bali-t0-diagnostics-crvu7gwo2-yulaboober.vercel.app/places/jaens-spa,390x844,200,YES,YES,1120,630,YES,0,PASS
