venue_slug,venue_id,current_legacy_photo_url,extracted_storage_path,matching_submission_image_path,current_storage_object_path,current_project_target_url,object_exists,mime_type,file_size,source_project,target_project,source_bucket,target_bucket,proposed_database_update,rollback_value,submission_id,submission_status,validation_note
therapy-day-spa-pererenan,v_import_therapy_day_spa_pererenan,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/therapy-day-spa-pererenan/2ff1e35257d8f26d2399.jpg,draft/therapy-day-spa-pererenan/2ff1e35257d8f26d2399.jpg,draft/therapy-day-spa-pererenan/2ff1e35257d8f26d2399.jpg,draft/therapy-day-spa-pererenan/2ff1e35257d8f26d2399.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/therapy-day-spa-pererenan/2ff1e35257d8f26d2399.jpg,true,image/jpeg,148876,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_import_therapy_day_spa_pererenan: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/therapy-day-spa-pererenan/2ff1e35257d8f26d2399.jpg -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/therapy-day-spa-pererenan/2ff1e35257d8f26d2399.jpg,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/therapy-day-spa-pererenan/2ff1e35257d8f26d2399.jpg,48b97cfd-5fd7-4fbd-a4f7-d7aadde9a792,draft,EXACT_PATH_MATCH
samesa-canggu,v_samesa-canggu,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/samesa-canggu/4e5e4d1c314ca6969e38.jpg,draft/samesa-canggu/4e5e4d1c314ca6969e38.jpg,draft/samesa-canggu/4e5e4d1c314ca6969e38.jpg,draft/samesa-canggu/4e5e4d1c314ca6969e38.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/samesa-canggu/4e5e4d1c314ca6969e38.jpg,true,image/jpeg,945313,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_samesa-canggu: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/samesa-canggu/4e5e4d1c314ca6969e38.jpg -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/samesa-canggu/4e5e4d1c314ca6969e38.jpg,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/samesa-canggu/4e5e4d1c314ca6969e38.jpg,9b7686ef-9ddf-4e2c-9e48-cb349c7fed3e,draft,EXACT_PATH_MATCH
isla-by-earth-island,v_import_isla_by_earth_island,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/isla-by-earth-island/20f241c3dcb74bf86ca8.jpg,draft/isla-by-earth-island/20f241c3dcb74bf86ca8.jpg,draft/isla-by-earth-island/20f241c3dcb74bf86ca8.jpg,draft/isla-by-earth-island/20f241c3dcb74bf86ca8.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/isla-by-earth-island/20f241c3dcb74bf86ca8.jpg,true,image/jpeg,580633,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_import_isla_by_earth_island: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/isla-by-earth-island/20f241c3dcb74bf86ca8.jpg -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/isla-by-earth-island/20f241c3dcb74bf86ca8.jpg,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/isla-by-earth-island/20f241c3dcb74bf86ca8.jpg,cb27d865-7c92-4f61-bdb5-7fc1bbbd0950,draft,EXACT_PATH_MATCH
rite-bali,v_import_rite_bali,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/rite-bali/7cb586dd51042c4780b3.png,draft/rite-bali/7cb586dd51042c4780b3.png,draft/rite-bali/7cb586dd51042c4780b3.png,draft/rite-bali/7cb586dd51042c4780b3.png,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/rite-bali/7cb586dd51042c4780b3.png,true,image/png,3338745,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_import_rite_bali: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/rite-bali/7cb586dd51042c4780b3.png -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/rite-bali/7cb586dd51042c4780b3.png,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/rite-bali/7cb586dd51042c4780b3.png,7deadb23-5914-4763-b50b-83c7c8cae5fd,draft,EXACT_PATH_MATCH
casa-luna,v_import_casa_luna,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/casa-luna/0f69e15d640264db77d4.jpg,draft/casa-luna/0f69e15d640264db77d4.jpg,draft/casa-luna/0f69e15d640264db77d4.jpg,draft/casa-luna/0f69e15d640264db77d4.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/casa-luna/0f69e15d640264db77d4.jpg,true,image/jpeg,742356,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_import_casa_luna: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/casa-luna/0f69e15d640264db77d4.jpg -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/casa-luna/0f69e15d640264db77d4.jpg,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/casa-luna/0f69e15d640264db77d4.jpg,ca48dc1e-f5e1-43d5-9c47-3087675dc689,draft,EXACT_PATH_MATCH
the-shady-shack,v_import_the_shady_shack,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/the-shady-shack/4cf9edf3df41dde82b1a.webp,draft/the-shady-shack/4cf9edf3df41dde82b1a.webp,draft/the-shady-shack/4cf9edf3df41dde82b1a.webp,draft/the-shady-shack/4cf9edf3df41dde82b1a.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/the-shady-shack/4cf9edf3df41dde82b1a.webp,true,image/webp,231526,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_import_the_shady_shack: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/the-shady-shack/4cf9edf3df41dde82b1a.webp -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/the-shady-shack/4cf9edf3df41dde82b1a.webp,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/the-shady-shack/4cf9edf3df41dde82b1a.webp,87ffe4b7-108c-40ab-aab4-ba22d390cda6,draft,EXACT_PATH_MATCH
lyma-beach,v_import_lyma_beach,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/lyma-beach/d52837e2be82bfd431c1.webp,draft/lyma-beach/d52837e2be82bfd431c1.webp,draft/lyma-beach/d52837e2be82bfd431c1.webp,draft/lyma-beach/d52837e2be82bfd431c1.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/lyma-beach/d52837e2be82bfd431c1.webp,true,image/webp,585042,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_import_lyma_beach: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/lyma-beach/d52837e2be82bfd431c1.webp -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/lyma-beach/d52837e2be82bfd431c1.webp,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/lyma-beach/d52837e2be82bfd431c1.webp,31d04e13-22aa-4013-a424-6b61f1043fdd,draft,EXACT_PATH_MATCH
tropical-temptation-adult-only-beach-club,v_import_tropical_temptation_adult_only_beach_club,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/tropical-temptation-adult-only-beach-club/bd4d7ad05df0b6243dce.jpg,draft/tropical-temptation-adult-only-beach-club/bd4d7ad05df0b6243dce.jpg,draft/tropical-temptation-adult-only-beach-club/bd4d7ad05df0b6243dce.jpg,draft/tropical-temptation-adult-only-beach-club/bd4d7ad05df0b6243dce.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/tropical-temptation-adult-only-beach-club/bd4d7ad05df0b6243dce.jpg,true,image/jpeg,221188,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_import_tropical_temptation_adult_only_beach_club: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/tropical-temptation-adult-only-beach-club/bd4d7ad05df0b6243dce.jpg -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/tropical-temptation-adult-only-beach-club/bd4d7ad05df0b6243dce.jpg,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/tropical-temptation-adult-only-beach-club/bd4d7ad05df0b6243dce.jpg,5ba671be-65e3-4f52-b2c4-5948c53884f2,draft,EXACT_PATH_MATCH
ulu-garden,v_import_ulu_garden,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ulu-garden/bcc777f38adfc3306a99.webp,draft/ulu-garden/bcc777f38adfc3306a99.webp,draft/ulu-garden/bcc777f38adfc3306a99.webp,draft/ulu-garden/bcc777f38adfc3306a99.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/ulu-garden/bcc777f38adfc3306a99.webp,true,image/webp,278580,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_import_ulu_garden: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ulu-garden/bcc777f38adfc3306a99.webp -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/ulu-garden/bcc777f38adfc3306a99.webp,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ulu-garden/bcc777f38adfc3306a99.webp,a56faf07-3021-48ff-bbc0-4586f6572662,draft,EXACT_PATH_MATCH
hippie-fish-pererenan-beach,v_import_hippie_fish_pererenan_beach,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/hippie-fish-pererenan-beach/c46009c2617f836614b2.jpg,draft/hippie-fish-pererenan-beach/c46009c2617f836614b2.jpg,draft/hippie-fish-pererenan-beach/c46009c2617f836614b2.jpg,draft/hippie-fish-pererenan-beach/c46009c2617f836614b2.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/hippie-fish-pererenan-beach/c46009c2617f836614b2.jpg,true,image/jpeg,74276,xvhxyohqkkpaynrgrvvb,egkdapqwkfprtyqvvnso,venue-photos,venue-photos,venues.photo_url v_import_hippie_fish_pererenan_beach: https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/hippie-fish-pererenan-beach/c46009c2617f836614b2.jpg -> https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/hippie-fish-pererenan-beach/c46009c2617f836614b2.jpg,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/hippie-fish-pererenan-beach/c46009c2617f836614b2.jpg,794f7c4b-670b-4a7f-b43b-85844ff77108,draft,EXACT_PATH_MATCH
