venue_slug,venue_id,original_photo_url,proposed_photo_url,rollback_sql,rollback_required
therapy-day-spa-pererenan,v_import_therapy_day_spa_pererenan,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/therapy-day-spa-pererenan/2ff1e35257d8f26d2399.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/therapy-day-spa-pererenan/2ff1e35257d8f26d2399.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/therapy-day-spa-pererenan/2ff1e35257d8f26d2399.jpg' WHERE id = 'v_import_therapy_day_spa_pererenan';,YES
samesa-canggu,v_samesa-canggu,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/samesa-canggu/4e5e4d1c314ca6969e38.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/samesa-canggu/4e5e4d1c314ca6969e38.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/samesa-canggu/4e5e4d1c314ca6969e38.jpg' WHERE id = 'v_samesa-canggu';,YES
isla-by-earth-island,v_import_isla_by_earth_island,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/isla-by-earth-island/20f241c3dcb74bf86ca8.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/isla-by-earth-island/20f241c3dcb74bf86ca8.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/isla-by-earth-island/20f241c3dcb74bf86ca8.jpg' WHERE id = 'v_import_isla_by_earth_island';,YES
rite-bali,v_import_rite_bali,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/rite-bali/7cb586dd51042c4780b3.png,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/rite-bali/7cb586dd51042c4780b3.png,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/rite-bali/7cb586dd51042c4780b3.png' WHERE id = 'v_import_rite_bali';,YES
casa-luna,v_import_casa_luna,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/casa-luna/0f69e15d640264db77d4.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/casa-luna/0f69e15d640264db77d4.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/casa-luna/0f69e15d640264db77d4.jpg' WHERE id = 'v_import_casa_luna';,YES
the-shady-shack,v_import_the_shady_shack,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/the-shady-shack/4cf9edf3df41dde82b1a.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/the-shady-shack/4cf9edf3df41dde82b1a.webp,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/the-shady-shack/4cf9edf3df41dde82b1a.webp' WHERE id = 'v_import_the_shady_shack';,YES
lyma-beach,v_import_lyma_beach,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/lyma-beach/d52837e2be82bfd431c1.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/lyma-beach/d52837e2be82bfd431c1.webp,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/lyma-beach/d52837e2be82bfd431c1.webp' WHERE id = 'v_import_lyma_beach';,YES
tropical-temptation-adult-only-beach-club,v_import_tropical_temptation_adult_only_beach_club,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/tropical-temptation-adult-only-beach-club/bd4d7ad05df0b6243dce.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/tropical-temptation-adult-only-beach-club/bd4d7ad05df0b6243dce.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/tropical-temptation-adult-only-beach-club/bd4d7ad05df0b6243dce.jpg' WHERE id = 'v_import_tropical_temptation_adult_only_beach_club';,YES
ulu-garden,v_import_ulu_garden,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ulu-garden/bcc777f38adfc3306a99.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/ulu-garden/bcc777f38adfc3306a99.webp,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ulu-garden/bcc777f38adfc3306a99.webp' WHERE id = 'v_import_ulu_garden';,YES
hippie-fish-pererenan-beach,v_import_hippie_fish_pererenan_beach,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/hippie-fish-pererenan-beach/c46009c2617f836614b2.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/hippie-fish-pererenan-beach/c46009c2617f836614b2.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/hippie-fish-pererenan-beach/c46009c2617f836614b2.jpg' WHERE id = 'v_import_hippie_fish_pererenan_beach';,YES
