venue_slug,target_url,storage_bucket,storage_path,object_exists,http_status,content_type,content_length,decodable,redirects,result,notes
therapy-day-spa-pererenan,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/therapy-day-spa-pererenan/2ff1e35257d8f26d2399.jpg,venue-photos,draft/therapy-day-spa-pererenan/2ff1e35257d8f26d2399.jpg,true,200,image/jpeg,148876,true,none,PASS,jpeg 1068x1600
samesa-canggu,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/samesa-canggu/4e5e4d1c314ca6969e38.jpg,venue-photos,draft/samesa-canggu/4e5e4d1c314ca6969e38.jpg,true,200,image/jpeg,945313,true,none,PASS,jpeg 900x1350
isla-by-earth-island,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/isla-by-earth-island/20f241c3dcb74bf86ca8.jpg,venue-photos,draft/isla-by-earth-island/20f241c3dcb74bf86ca8.jpg,true,200,image/jpeg,580633,true,none,PASS,jpeg 2000x968
rite-bali,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/rite-bali/7cb586dd51042c4780b3.png,venue-photos,draft/rite-bali/7cb586dd51042c4780b3.png,true,200,image/png,3338745,true,none,PASS,png 2000x1333
casa-luna,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/casa-luna/0f69e15d640264db77d4.jpg,venue-photos,draft/casa-luna/0f69e15d640264db77d4.jpg,true,200,image/jpeg,742356,true,none,PASS,jpeg 2560x1707
the-shady-shack,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/the-shady-shack/4cf9edf3df41dde82b1a.webp,venue-photos,draft/the-shady-shack/4cf9edf3df41dde82b1a.webp,true,200,image/webp,231526,true,none,PASS,webp 1400x933
lyma-beach,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/lyma-beach/d52837e2be82bfd431c1.webp,venue-photos,draft/lyma-beach/d52837e2be82bfd431c1.webp,true,200,image/webp,585042,true,none,PASS,webp 2000x1123
tropical-temptation-adult-only-beach-club,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/tropical-temptation-adult-only-beach-club/bd4d7ad05df0b6243dce.jpg,venue-photos,draft/tropical-temptation-adult-only-beach-club/bd4d7ad05df0b6243dce.jpg,true,200,image/jpeg,221188,true,none,PASS,jpeg 1280x960
ulu-garden,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/ulu-garden/bcc777f38adfc3306a99.webp,venue-photos,draft/ulu-garden/bcc777f38adfc3306a99.webp,true,200,image/webp,278580,true,none,PASS,webp 1708x2560
hippie-fish-pererenan-beach,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/hippie-fish-pererenan-beach/c46009c2617f836614b2.jpg,venue-photos,draft/hippie-fish-pererenan-beach/c46009c2617f836614b2.jpg,true,200,image/jpeg,74276,true,none,PASS,jpeg 600x900
santanera,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/santanera/e8bc9e6834d7f4b56ef5.webp,venue-photos,draft/santanera/e8bc9e6834d7f4b56ef5.webp,true,200,image/webp,342062,true,none,PASS,webp 2500x1445
12-kitchen-and-wine,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/12-kitchen-and-wine/b6912e9d7c108cb59f19.jpg,venue-photos,draft/12-kitchen-and-wine/b6912e9d7c108cb59f19.jpg,true,200,image/jpeg,915442,true,none,PASS,jpeg 2992x1284
la-brisa-bali,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/la-brisa-bali/9a3266b06d1fcaa5b130.jpg,venue-photos,draft/la-brisa-bali/9a3266b06d1fcaa5b130.jpg,true,200,image/jpeg,919434,true,none,PASS,jpeg 2560x1707
samadi-bali,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/samadi-bali/4c8f32ddccdce7d7b96f.jpg,venue-photos,draft/samadi-bali/4c8f32ddccdce7d7b96f.jpg,true,200,image/jpeg,415115,true,none,PASS,jpeg 2560x1707
