district,job_slug,total_matching_venues,published_matching_venues,verified_matching_venues,last_verified_at_coverage_pct,required_field_coverage_pct,readiness_verdict,observed_at,generator,source_version
amed,(untagged),1,1,1,100,0,BLOCKED_BY_DATA,2026-07-29T18:53:47.659Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
bangli,(untagged),5,5,4,80,0,BLOCKED_BY_DATA,2026-07-29T18:53:47.663Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
canggu,(untagged),145,145,143,98.6,0,BLOCKED_BY_DATA,2026-07-29T18:53:47.663Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
canggu,brunch_after_surf,44,44,38,86.4,100,READY,2026-07-29T18:53:47.663Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
canggu,date_night_special,29,29,23,79.3,100,READY,2026-07-29T18:53:47.663Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
canggu,family_early_dinner,8,8,6,75,100,READY,2026-07-29T18:53:47.663Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
canggu,group_dinner_share,35,35,28,80,100,READY,2026-07-29T18:53:47.663Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
canggu,just_landed_easy_dinner,4,4,3,75,100,READY,2026-07-29T18:53:47.663Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
canggu,local_food_calm,19,19,18,94.7,100,READY,2026-07-29T18:53:47.663Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
canggu,quiet_work_cafe,28,28,26,92.9,100,READY,2026-07-29T18:53:47.663Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
canggu,special_occasion,13,13,10,76.9,100,READY,2026-07-29T18:53:47.663Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
canggu,sunset_drinks_view,13,13,10,76.9,100,READY,2026-07-29T18:53:47.663Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
denpasar,(untagged),6,6,6,100,0,BLOCKED_BY_DATA,2026-07-29T18:53:47.663Z,other-bali-intent-os-autopilot,OB-INT-0001..0200@2026-07-29
